gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	p_adjusted_new
ENSG00000118503.13	0.298025103060294	1.34719560618761	0.0899963526272405	3.31152423803991	0.00092789201444627	age	0.024889204398413	1.02520152641181	0.00741288566451659	3.35755946129733	0.000786338284698532	gender	0.017955458149546	1.01811762653675	0.193403631028753	0.0928393022097739	0.926031227180046	0.0831899743135531
ENSG00000064655.17	-0.350256753349512	0.704507181916653	0.105133185461685	-3.33155275198201	0.0008636293013758	age	0.0357648212443297	1.03641207572486	0.00789317550806532	4.53110680331191	5.8675463258526e-06	gender	0.174118054536213	1.19019606557141	0.197622594701744	0.881063497820153	0.378283452682813	0.0831899743135531
ENSG00000065923.8	0.417402574985045	1.51801350420569	0.10010728271239	4.16955254079017	3.0519825324855e-05	age	0.0236433102615421	1.02392502919627	0.00698096967899439	3.3868232278224	0.000707069307368488	gender	0.0167727193899764	1.01691417118498	0.19246238902983	0.0871480369464646	0.930553842639437	0.0436128303892178
ENSG00000122254.6	0.312386680423481	1.36668306045281	0.09737633273967	3.20803496737373	0.00133645248289446	age	0.0259679424421812	1.02630804701652	0.00744965901901305	3.48578940001224	0.000490687142352329	gender	0.0730082609836785	1.07573942354382	0.193675580695077	0.376961621706058	0.706202125992103	0.0854848675775521
ENSG00000260077.1	0.272782213507633	1.31361412625661	0.085045901635876	3.20747041610011	0.00133907832412808	age	0.0268247757363838	1.02718779876778	0.0075232139565405	3.56560053872495	0.000363023959041622	gender	0.0680426818086993	1.07041099458109	0.193794520792274	0.351107356031152	0.725507809521981	0.0854848675775521
ENSG00000177614.8	0.289986839009331	1.33640989943151	0.0904515502940546	3.20599081018064	0.0013459828694856	age	0.0238302589293631	1.02411646851053	0.00730532230769901	3.26204073217257	0.00110613248500019	gender	0.0626869548799738	1.06469348995599	0.192441985238971	0.325744690287467	0.744617528796971	0.0854848675775521
ENSG00000145423.4	0.295625343734863	1.34396653701256	0.0816157729519874	3.62215945573133	0.000292153933728665	age	0.025166230283692	1.02548557311459	0.00737507694916984	3.4123346043901	0.000644089996278507	gender	0.0761967657665096	1.07917489794356	0.193035853445876	0.394728566773084	0.693043217953466	0.0826716293065166
ENSG00000134371.9	-0.345019488679138	0.708206551323066	0.0978416985233955	-3.52630313952121	0.000421404322355897	age	0.0285082856139801	1.02891853602101	0.00752699265907645	3.78747355088799	0.000152186879311311	gender	0.0769323605754396	1.07996902543864	0.192919426849739	0.398779748787874	0.69005550010572	0.0831899743135531
ENSG00000134061.5	0.334413676203295	1.39712097975017	0.099872689444251	3.34839962820832	0.000812797163276762	age	0.031907263459248	1.03242175764313	0.00761398020810509	4.1906154976976	2.78198757183652e-05	gender	0.0977862002020023	1.10272699709447	0.194345880901278	0.503155506813519	0.614854943935164	0.0831899743135531
ENSG00000103381.10	0.291240887990872	1.33808687418929	0.0892781200986957	3.26217540948341	0.00110560707914165	age	0.0270804617618484	1.02745046991269	0.00747561372596997	3.62250682746916	0.000291761757700671	gender	0.0931748903873886	1.09765368756092	0.193595655887657	0.481286059649282	0.630313203404255	0.0831899743135531
ENSG00000107521.17	0.335129083235308	1.39812084753724	0.098096426018932	3.41632306941162	0.000634728953074049	age	0.0267853559620764	1.02714730805466	0.00753600472231675	3.55431783140416	0.000378960941838071	gender	0.0898513815452678	1.09401168129712	0.192921468371476	0.465740709438602	0.641401109188859	0.0831899743135531
ENSG00000155093.16	0.349468409044897	1.41831338559062	0.0869767985198226	4.0179497865198	5.87067029416783e-05	age	0.0239074303956426	1.02419550412965	0.00748888176368326	3.19238988544054	0.00141100732574289	gender	0.0526126287935681	1.0540212685374	0.192967220901463	0.272650601214982	0.785121810861807	0.047928762311106
ENSG00000110651.10	0.321788997891994	1.37959364807609	0.0928033651618944	3.46742811891182	0.000525464258392355	age	0.0265245360960083	1.02687944256518	0.00768746735401387	3.45036081124417	0.000559837772653958	gender	0.165227268280758	1.17966118781847	0.195435257843966	0.845432242388289	0.397869548926336	0.0831899743135531
ENSG00000171724.2	0.352935504941058	1.4232393485678	0.0987181052981354	3.57518515853975	0.000349980118192108	age	0.0287116239741462	1.0291277759014	0.00720140435722159	3.98694789931552	6.69287155105151e-05	gender	-0.0232813235284441	0.976987595511207	0.194199813791225	-0.119883346301623	0.904575557048532	0.0826716293065166
